MaxAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_LOGPLOW,AvgIpc,BalabanJ,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA9,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA10,SlogP_VSA12,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,VSA_EState8,NumAliphaticCarbocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,Value
13.355623,-4.201371,0.520989,11.258064,443.477,0.9032258,32.23343,-2.3552146,2.753819,2.1532226,0.0,10.023292,11.938611,8.417797,0.0,0.0,30.331835,17.692667,17.95977,66.22712,5.7495117,5.6873865,0.0,0.0,0.0,10.772449,16.521961,9.868668,37.44163,30.331835,0.0,-0.7710026,0.0,0.0,0.0,5.03
13.463684,-3.8043475,0.58150446,16.5,452.576,1.0,32.233273,-2.2269042,3.226228,1.7695563,0.0,10.023292,5.9693055,8.417797,0.0,0.0,30.331835,16.500776,22.711517,64.718376,0.0,11.374773,0.0,33.612854,0.0,10.772449,30.093204,38.713642,0.0,6.066367,64.093155,8.627745,0.0,0.0,1.0,6.7
12.95032,-3.7171488,0.39264867,12.823529,498.992,1.0882353,35.495693,-2.2631319,3.1907542,1.6916426,0.0,0.0,5.9693055,13.0996,4.305216,5.098682,53.21253,16.833006,7.047672,88.44302,0.0,0.0,11.60094,0.0,5.022633,11.0334015,16.102785,16.643604,23.485622,48.127678,18.1991,0.034611363,0.0,1.0,0.0,6.57
13.12474,-0.95587254,0.7880719,24.466667,404.422,0.93333334,16.367598,-2.4688663,3.5314515,1.4714987,0.0,11.81436,5.9693055,0.0,0.0,0.0,36.3982,35.549313,13.089513,70.784744,0.0,0.0,0.0,11.835813,0.0,0.0,30.513302,11.126903,4.8999095,29.165379,24.265469,0.4921427,1.0,0.0,0.0,4.68
15.637987,-2.3195329,0.014190959,20.540146,1956.106,0.6277372,32.16637,-2.6136289,1.6701981,1.4149575,5.9595547,0.0,17.907915,9.374393,11.761885,0.0,52.314873,63.373783,57.884045,54.243855,0.0,4.390415,11.761885,17.245096,0.0,10.902925,33.539963,6.923737,45.05726,44.309788,6.2557693,2.5704288,0.0,2.0,2.0,7.59
14.116867,-1.9373009,0.033528794,14.3625,1127.216,0.475,16.373007,-2.6057189,3.3559585,2.381881,0.0,0.0,17.907915,0.0,0.0,0.0,70.159515,19.069544,6.5447564,65.724205,5.7495117,0.0,0.0,11.835813,0.0,0.0,11.126903,13.847474,24.265469,44.17931,13.847474,8.318633,0.0,0.0,0.0,4.43
13.52777,-4.232489,0.49958065,15.911765,484.53,1.0294118,32.23343,-2.3679805,3.3181992,1.868174,0.0,10.023292,11.938611,13.212335,0.0,0.0,24.265469,17.692667,29.404436,60.66367,5.7495117,11.374773,0.0,0.0,0.0,10.772449,35.174923,10.726038,31.375265,41.29811,0.0,-0.21977837,0.0,0.0,1.0,7.37
14.524653,-4.6110425,0.1517407,13.206897,848.978,0.70689654,32.236195,-2.429257,3.6336045,1.4388748,0.0,41.88423,0.0,34.697582,0.0,0.0,48.530937,36.807747,43.62403,131.95132,17.248535,11.374773,0.0,6.923737,0.0,0.0,22.5638,9.868668,88.05943,60.354584,4.722095,0.896006,0.0,0.0,0.0,6.82
14.5559845,-4.6074624,0.12986565,13.098361,893.031,0.72131145,32.236195,-2.4292302,3.66251,1.4136282,0.0,41.88423,0.0,34.697582,0.0,0.0,24.265469,43.414627,50.23091,125.884964,22.998047,11.374773,0.0,6.923737,0.0,0.0,40.66971,9.868668,94.1258,55.145588,4.722095,2.9913745,0.0,0.0,0.0,7.32
16.082289,-2.3284516,0.009576363,18.268183,3113.591,0.3909091,32.166378,-2.620174,1.6704589,1.0990472,17.878664,0.0,17.907915,4.390415,11.761885,5.098682,112.48002,43.770893,70.91143,119.837585,0.0,4.390415,11.761885,28.063663,0.0,21.80585,49.816936,17.802383,17.958729,119.01033,0.0,4.933446,0.0,3.0,1.0,8.38
15.047154,-1.9398166,0.03390779,17.210526,1079.147,0.6315789,19.144241,-2.6026754,3.716176,2.2988453,0.0,0.0,17.907915,4.390415,0.0,0.0,58.026783,25.614302,13.089513,35.895287,0.0,4.390415,0.0,11.835813,0.0,0.0,10.463361,13.847474,0.0,58.026783,0.0,7.45238,0.0,0.0,1.0,7.89
13.977748,-4.2629642,0.41753477,13.631579,538.622,1.0263158,32.23343,-2.3682656,3.2525818,1.8494655,6.041841,10.023292,11.938611,13.212335,0.0,0.0,35.895287,17.692667,29.404436,82.41456,5.7495117,11.374773,0.0,20.771212,0.0,0.0,46.65628,9.868668,7.1097975,73.34469,6.923737,4.780037,0.0,0.0,0.0,5.63
11.232854,-0.84796965,0.8022971,12.454545,315.76,1.2272727,35.495693,-2.0766883,2.8648717,2.0615892,0.0,0.0,5.9693055,4.6818027,0.0,5.098682,35.013428,11.937522,0.0,58.614105,0.0,0.0,11.60094,0.0,5.022633,11.0334015,5.022633,22.160305,0.0,16.814537,37.37951,0.0,0.0,1.0,0.0,4.21
13.36662,-4.062021,0.22984292,11.675,582.7,0.7,32.2347,-2.1703813,2.9117641,1.7810049,0.0,20.046583,0.0,16.835594,0.0,0.0,24.265469,34.379505,22.657953,84.42622,11.499023,11.374773,0.0,0.0,0.0,10.772449,41.048687,0.0,37.255573,48.530937,13.847474,5.931253,0.0,0.0,0.0,5.82
13.390976,-1.9364531,0.09199746,24.8125,928.928,0.71875,32.166496,-2.6081576,3.2184806,2.4596076,0.0,0.0,23.877222,4.794537,11.761885,0.0,12.132734,38.32515,31.264227,29.82892,5.7495117,0.0,11.761885,0.0,0.0,0.0,11.3129635,18.685621,12.132734,12.132734,5.3167887,-1.0161368,0.0,0.0,0.0,8.55
12.807661,-3.892807,0.39455628,12.16129,444.465,0.9354839,32.233273,-2.313622,2.7405212,1.9670844,0.0,10.023292,11.938611,13.212335,0.0,0.0,24.265469,24.11349,17.148682,60.66367,5.7495117,11.374773,0.0,0.0,0.0,10.772449,27.896732,0.0,43.508,24.265469,0.0,0.0,0.0,0.0,0.0,5.0
14.247345,-1.9121156,0.065655746,24.97619,1187.272,0.52380955,16.373125,-2.6049151,4.14433,2.1601791,0.0,0.0,17.907915,0.0,0.0,0.0,58.026783,25.614302,19.63427,35.895287,0.0,0.0,0.0,11.835813,0.0,0.0,5.5634513,11.823647,0.0,58.026783,0.0,5.8050976,0.0,0.0,2.0,7.74
14.256131,-4.368431,0.20875382,13.479167,756.697,0.9583333,79.91873,-2.4219654,3.4284215,1.6293916,0.0,25.953762,5.9693055,21.55769,0.0,0.0,48.028023,17.692667,29.404436,111.15275,5.7495117,11.374773,15.929944,20.771212,0.0,0.0,33.690704,9.868668,19.24253,85.477425,6.923737,4.5450635,0.0,0.0,0.0,5.63
